Event Name,Date (DD/MM/YY),Event Type,Title,Organization,Program URL,Program,Format,Online / In-Person,Length,Organization URL,Event Promo,Full Length Video,Teaser Video,"City, Country",Full Address,Org Industry,Org Type,Organization Tags,Description,Elements,Topic Focus,Theme,Niche,Tags
Next Block Expo 2022,23-Nov-22,Conference,"Prelaunch, Launch, and Post-Launch Marketing for Web3",Next Block Expo,https://nextblockexpo.com/,Next Block Expo (NBX),Keynote,In-Person,30 Minutes,https://nextblockexpo.com/,https://nextblockexpo.com/speakers,-,-,"Berlin, Germany","STATION Berlin, Luckenwalder Str. 4-6, 10963 Berlin, Germany",Blockchain events,Conference Organizer,"Blockchain, Crypto, Events, Web3, Europe","Launch sequencing, community momentum, narrative, acquisition channels, retention loops","Launch planning, community building, narrative, growth channels, retention, analytics",Web3 go-to-market,Blockchain Crypto and Web3,Web3 founders,"Launch marketing, Web3, Growth, Community, GTM"
Rockstart Accelerator Workshop 2,16-Nov-22,Workshop,One-on-One Growth Clinics (4 Startups),Rockstart,https://rockstart.com/,Rockstart Accelerator,Workshop,In-Person,4 Hours,https://rockstart.com/,https://rockstart.com/,-,-,"Amsterdam, Netherlands","Singel 542, 1017 AZ Amsterdam, Netherlands",Startup accelerator and VC,Accelerator,"Accelerator, Venture capital, Mentorship, Europe, Early-stage","Rapid diagnosis, ICP fixes, channel experiments, messaging cleanup, next 30-day plan","Growth audit, ICP, channel strategy, funnel, messaging, experiments, prioritization",Growth clinics,Start-ups and Entrepreneurship,Startups,"Accelerator, Growth, Mentorship, Experimentation, GTM"
Rockstart Accelerator Workshop 1,15-Nov-22,Workshop,Ideal Customer Persona and Targeting for B2B and B2C Startups,Rockstart,https://rockstart.com/,Rockstart Accelerator,Keynote,In-Person,1 Hour,https://rockstart.com/,https://rockstart.com/,-,-,"Amsterdam, Netherlands","Singel 542, 1017 AZ Amsterdam, Netherlands",Startup accelerator and VC,Accelerator,"Accelerator, Venture capital, Mentorship, Europe, Early-stage","ICP frameworks, segmentation, positioning, targeting signals, scalable acquisition","ICP, segmentation, positioning, targeting, offers, acquisition, experimentation",ICP and targeting,Digital Marketing Sales,Growth marketing,"ICP, Positioning, Targeting, B2B, B2C"
HUEA Speaker Series,10-Nov-22,Webinar,Web3 Innovations and Funding for Blockchain Startups,Harvard Undergraduate Economics Association,-,-,Keynote,Online,1 Hour,https://www.thehuea.org/,https://www.thehuea.org/,-,-,"Cambridge, United States","Harvard University, Cambridge, MA 02138, United States",Higher education (student org),Student Organization,"Harvard, Economics, Student org, Speaker series, Education","Web3 innovation map, funding paths, grants, token basics, investor narrative","Web3 trends, fundraising, grants, tokenomics, investor narrative, market timing",Web3 funding,Blockchain Crypto and Web3,Students,"Web3, Funding, Startups, Grants, Education"
Lead Generation Conference,4-Nov-22,Conference,How to Growth-Hack Your Deal-Flow for More Leads in Less Time,Boussias (Lead Generation Conference),https://www.leadgenerationconference.gr/,Lead Generation Conference 2022,Keynote,Online,30 Minutes,https://www.leadgenerationconference.gr/,https://www.leadgenerationconference.gr/team-members/taylor-ryan/,-,-,"Athens, Greece",-,B2B media and conferences,Media and Events,"B2B conferences, Media, Marketing, Greece, Events","Deal-flow systems, outbound, automation, qualification, pipeline velocity","Lead gen, outbound, automation, qualification, CRM, pipeline, reporting",Lead generation,Digital Marketing Sales,B2B sales,"Lead gen, Outbound, Automation, Growth hacking, Pipeline"
Copenhagen SEO Meetup,3-Nov-22,Meetup,How to Optimize Your Website for SEO,Copenhagen SEO Meetup,https://seo-meetup.com/copenhagen-seo-meetup-nov-2022/,Copenhagen SEO Meetup,Keynote,In-Person,30 Minutes,https://iihnordic.dk/,https://www.eventbrite.dk/e/copenhagen-seo-meetup-tickets-439150861047,-,-,"Copenhagen, Denmark","IIH Nordic, Artillerivej 86, 2300 København S, Denmark",Marketing community,Meetup Group,"SEO, Digital marketing, Community, Copenhagen, Events","Technical fixes, content strategy, intent-driven keywords, links, measurement","Technical SEO, on-page, content, keyword intent, link building, analytics",SEO growth,Digital Marketing Sales,SEO,"SEO, Organic growth, Content, Technical, Analytics"
Cphbusiness Web3 Lecture,27-Oct-22,Lecture,Current and Future Opportunities in Web3,Copenhagen Business Academy (Cphbusiness),https://www.cphbusiness.dk/,Copenhagen Business Academy (Cphbusiness),Lecture,In-Person,2 Hours,https://www.cphbusiness.dk/,https://www.cphbusiness.dk/,-,-,"Copenhagen, Denmark","Nansensgade 19, 1366 Copenhagen, Denmark",Higher education,Business Academy,"Education, Business school, Denmark, Tech, Students","Web3 landscape, use cases, risks, careers, next-wave trends","Web3 overview, protocols, use cases, token models, regulation, careers",Web3 opportunities,Blockchain Crypto and Web3,Students,"Web3, Education, Blockchain, Careers, Innovation"
Founder Institute Session 4: Revenue,26-Oct-22,Workshop,Founder Pitch and Revenue Focus Workshop,Founder Institute,https://fi.co/s/stockholm,Founder Institute Stockholm,Workshop,Online,4 Hours,https://fi.co/,https://fi.co/s/stockholm,-,-,"Stockholm, Sweden",-,Startup accelerator,Accelerator,"Accelerator, Pre-seed, Mentorship, Founder education, Global","Revenue model clarity, pricing, pipeline basics, pitch refinement, metric discipline","Pricing, revenue model, sales pipeline, pitch, unit economics, metrics",Revenue and pitching,Start-ups and Entrepreneurship,Startup founders,"Revenue, Pricing, Pitching, Accelerator, Early-stage"
Aalto University MBA Lecture - CBS,14-Oct-22,Workshop,MBA Lecture for Graduates (Aalto + CBS),Aalto University,-,MBA Program (Aalto University + CBS),Workshop,In-Person,2 Hours,https://www.aalto.fi/en,https://www.aalto.fi/en,-,-,"Espoo, Finland",-,Higher education,University,"Business school, MBA, Finland, Innovation, Education","Growth frameworks, automation mindset, experimentation, execution systems","Growth strategy, automation, experimentation, operations, case studies",Growth automation,Corporate Innovation,MBA,"MBA, Growth, Automation, Strategy, Case study"
Rockstart Accelerator Workshop,13-Oct-22,Workshop,Growth-Hacking Tactics Using Your Competitors (1-on-1s),Rockstart,https://rockstart.com/,Rockstart Accelerator,Workshop,In-Person,4 Hours,https://rockstart.com/,https://rockstart.com/,-,-,"Amsterdam, Netherlands","Singel 542, 1017 AZ Amsterdam, Netherlands",Startup accelerator and VC,Accelerator,"Accelerator, Venture capital, Mentorship, Europe, Early-stage","Competitor teardown, reverse funnels, channel arbitrage, quick tests, action plans","Competitor analysis, channel research, positioning, experiments, messaging, growth loops",Competitor-driven growth,Digital Marketing Sales,Growth marketing,"Competitor research, Growth hacks, Experiments, Positioning, Startups"
Rockstart Accelerator Workshop,11-Oct-22,Workshop,Conversion Rate Optimization and Content (1-on-1s),Rockstart,https://rockstart.com/,Rockstart Accelerator,Workshop,In-Person,4 Hours,https://rockstart.com/,https://rockstart.com/,-,-,"Amsterdam, Netherlands","Singel 542, 1017 AZ Amsterdam, Netherlands",Startup accelerator and VC,Accelerator,"Accelerator, Venture capital, Mentorship, Europe, Early-stage","CRO fundamentals, content conversion, landing pages, messaging tests, prioritization","CRO, landing pages, messaging, content strategy, experiments, analytics",Conversion optimization,Digital Marketing Sales,Conversion optimization,"CRO, Conversion, Content, Experiments, Analytics"
Antler Growth-Hacking Workshop,22-Oct-22,Workshop,Growth-Hacking and Quick Wins for Any Startup,Antler,https://www.antler.co/,Antler Denmark,Workshop,In-Person,2 Hours,https://www.antler.co/,https://www.antler.co/,-,-,"Copenhagen, Denmark",-,Venture capital and startup building,Accelerator,"Venture capital, Startup studio, Founder program, Global, Nordics","Rapid experiments, acquisition loops, prioritization, GTM foundations, metric focus","Growth loops, channels, prioritization, analytics, messaging, experimentation",Growth quick wins,Start-ups and Entrepreneurship,Startups,"Growth hacking, Experiments, GTM, Startups, Metrics"
Nordic Fintech Week 2022,27-Sep-22,Conference,How to Launch and Grow Your Web3 Project,Nordic Fintech Week,https://nfweek.com/,Nordic Fintech Week 2022,Keynote,In-Person,20 Minutes,https://nfweek.com/,https://nfweek.com/,-,-,"Copenhagen, Denmark","TAP1, Raffinaderivej 10, 2300 Copenhagen, Denmark",Fintech events,Conference Organizer,"Fintech, Events, Nordics, Networking, Industry","Launch strategy, traction loops, community, partnerships, measurement","GTM, community, partnerships, growth loops, measurement, risk controls",Web3 launch,Blockchain Crypto and Web3,Fintech,"Fintech, Web3, Launch, Growth, Community"
Nordic Fintech Week 2022,27-Sep-22,Conference,How Web3 Will Change the Way We Think About Finance,Nordic Fintech Week,https://nfweek.com/,Nordic Fintech Week 2022,Keynote,In-Person,20 Minutes,https://nfweek.com/,https://nfweek.com/,-,-,"Copenhagen, Denmark","TAP1, Raffinaderivej 10, 2300 Copenhagen, Denmark",Fintech events,Conference Organizer,"Fintech, Events, Nordics, Networking, Industry","DeFi rails, tokenized assets, identity, payments, open finance, regulation","DeFi, tokenization, identity, payments, open finance, regulation",Open finance shift,Blockchain Crypto and Web3,Fintech,"Fintech, DeFi, Tokenization, Web3, Regulation"
GrowthHackers Conference 2022,20-Sep-22,Conference (Online),"Execution: Build, Organize, Execute Marketing Playbooks Across Channels",GrowthHackers,https://www.growthhackersconference.com/,GrowthHackers Conference,Keynote,Online,30 Minutes,https://growthhackers.com/,https://www.growthhackersconference.com/,-,-,"San Francisco, United States",-,Growth marketing community,Growth Community,"Growth marketing, Community, Conference, Education, Playbooks","Playbook systems, experiment cadence, team structure, measurement, repeatability","Playbooks, experimentation, team ops, channel ownership, measurement, execution",Growth execution,Digital Marketing Sales,Growth teams,"Growth ops, Playbooks, Experimentation, Marketing, Execution"
SEBC-2022,2-Aug-22,Conference,How to Launch and Grow Your Sustainable Energy Web3 Project,GSUSI,https://gsusi.com/,SEBC-2022,Keynote,Online,45 Minutes,https://gsusi.com/,https://gsusi.com/,-,-,"Mumbai, India",-,Sustainability conference,Conference Organizer,"Sustainable energy, Blockchain, Events, Research, Crypto","Energy use cases, Web3 GTM, partnerships, credibility, compliance, growth loops","Energy sector, blockchain use cases, GTM, partnerships, community, compliance, metrics",Energy Web3 growth,Blockchain Crypto and Web3,Sustainable energy,"Energy, Blockchain, Web3, Sustainability, GTM"
Global NFT Summit 2022,28-Jul-22,Conference (Online),Fractionalisation with NFTs,Tech Circus,https://www.worldcoinindex.com/events/the-global-nft-summit-2022,Global NFT Summit Online,Panel,Online,1 Hour,https://techcircus.io/,https://globalnftsummit.com/en/events/global-nft-summit-online#,-,-,"London, United Kingdom",-,Tech events and conferences,Events Company,"Conferences, Tech events, Web3, NFTs, Online events","Fractional NFTs, liquidity, marketplace mechanics, legal risk, new ownership models","Fractional NFTs, marketplaces, regulation, liquidity, asset ownership, use cases",NFT fractionalization,Blockchain Crypto and Web3,NFTs,"NFTs, Fractionalization, Web3, Markets, Regulation"
NFT Evolution and the Future of Crypto Assets,27-Jul-22,Webinar,NFT Evolution and the Future of Crypto Assets,Harrisburg University of Science and Technology,https://summits.harrisburgu.edu/cryptocurrency-conference/past-events/,Shred the System Crypto Conference,Moderator and Host,Online,1 Hour,https://summits.harrisburgu.edu/,https://summits.harrisburgu.edu/cryptocurrency-conference/past-events/,-,-,"Harrisburg, United States",-,Higher education (professional programs),University,"University, Professional education, Blockchain, Events, USA","NFT market evolution, utility trends, trading dynamics, regulation, value drivers","NFTs, creator economy, markets, utility, regulation, adoption",NFT market trends,Blockchain Crypto and Web3,NFTs,"NFTs, Crypto, Markets, Trends, Regulation"
Shred the System: What is the Metaverse and Why Does It Matter?,28-Jun-22,Webinar,What is the Metaverse and Why Does It Matter?,Harrisburg University of Science and Technology,https://summits.harrisburgu.edu/cryptocurrency-conference/past-events/,Shred the System Crypto Conference,Panel,Online,1 Hour,https://summits.harrisburgu.edu/,https://summits.harrisburgu.edu/cryptocurrency-conference/,-,-,"Harrisburg, United States",-,Higher education (professional programs),University,"University, Professional education, Emerging tech, Events, USA","Metaverse basics, identity, user shifts, brand experiences, risks, opportunity mapping","Metaverse, identity, virtual worlds, marketing, adoption, risks",Metaverse impact,Other,Metaverse,"Metaverse, Virtual worlds, Digital identity, Innovation, Marketing"
Netafim EMEA Marketing Summit,25-May-22,Workshop,Offsite Digitalization Workshop for Global AgTech Team,Netafim,-,EMEA Marketing Summit,Workshop,In-Person,2 Hours,https://www.netafim.com/en/,https://www.netafim.com/en/,https://youtu.be/JI1Iu1bXe0U,-,"Giv'atayim, Israel",-,AgTech (irrigation technology),AgTech Company,"AgTech, Irrigation, Agriculture, Sustainability, Global","Digital transformation, process automation, data systems, execution alignment","Digitalization, process automation, data, marketing ops, change management",Digital transformation,Corporate Innovation,AgTech,"Digital transformation, Automation, Marketing ops, AgTech, Data"
TMRW CONF,15-May-22,Conference,"Entering the Metaverse, Part 2: Impact, Opportunities, and Regulatory Considerations",TMRW CONF,https://tmrwconf.net/,TMRW CONF 2022,Panel Host,In-Person,30 Minutes,https://tmrwconf.net/,http://tmrwconf.net,-,-,"Belgrade, Serbia","BelexpoCentar, Španskih boraca 74a, 11070 Belgrade, Serbia",Tech conference,Conference Organizer,"Tech, Innovation, Web3, Startups, Events","Metaverse adoption, business impacts, regulation outlook, practical opportunities","Metaverse, regulation, business impact, risk, strategy, opportunities",Metaverse regulation,Other,Metaverse,"Metaverse, Regulation, Innovation, Web3, Strategy"
BFG Superstars Workshop: Growth Hacking,12-May-22,Workshop,Growth-Hacking Your Way to Web3 Startup Funding,Blockchain Founders Group,https://blockchain-founders.io/bfg-superstars-a-first-recap-of-our-incubator-program/,BFG Superstars,Workshop,Online,1 Hour,https://en.blockchain-founders.io/,https://en.blockchain-founders.io/,-,-,"Neustadt an der Weinstraße, Germany","Haardter Strasse 13, 67433 Neustadt an der Weinstraße, Germany",Web3 startup acceleration,Startup accelerator,"Web3 accelerator, founder support, remote cohorts, funding, mentorship","Funding-ready growth strategy, traction proof, investor narrative, repeatable acquisition loops","Fundraising readiness, traction metrics, growth loops, positioning, partner strategy, outreach systems",Web3 growth funding,Blockchain Crypto and Web3,Web3 startups,"Growth hacking, fundraising, Web3, traction, accelerators"
Near Nordic Accelerator Launch,6-May-22,Meetup,Understanding Web3 and the Blockchain,Near Nordic,https://nearnordic.com/,Near Nordic Accelerator,"Host, Keynote",In-Person,45 Minutes,https://nearnordic.com/,https://nearnordic.com,https://www.youtube.com/watch?v=F2N7zVTPu24,https://www.youtube.com/watch?v=zX7P1vC3rec,"Copenhagen, Denmark","Højbro Plads 10, 1200 København K, Denmark",Web3 community and accelerator,Community organization,"Web3 community, Nordics, events, accelerator, builders","Web3 fundamentals, blockchain concepts, real use cases, onboarding into the Nordic builder scene","Wallets, smart contracts, tokens, use cases, ecosystem overview, community growth",Web3 fundamentals,Blockchain Crypto and Web3,Web3 builders,"Web3, blockchain basics, community, Nordics, Near Protocol"
Maersk Growth Corner,29-Apr-22,Webinar,The Future of Web3 and Shipping,Maersk,https://www.maersk.com/growth,Maersk Growth,Keynote,In-Person,1 Hour,https://www.maersk.com/,https://www.maersk.com/growth,-,-,"Copenhagen, Denmark","Esplanaden 50, 1098 Copenhagen K, Denmark",Logistics and shipping,Logistics and shipping,"Global logistics, shipping, supply chain, enterprise, innovation","Blockchain in supply chains, trade digitization, smart contracts, future shipping business models","Supply chain visibility, traceability, smart contracts, trade docs, tokenization concepts, partnerships",Web3 in logistics,Corporate Innovation,Logistics,"Web3, supply chain, logistics, enterprise innovation, blockchain"
Funding and Beyond: 2022,6-Apr-22,Webinar,Secrets to Getting Your Pre-Seed Investment,Glorium Technologies,https://gloriumtech.com/startups-funding-and-beyond-2022/,Funding and Beyond: 2022,Keynote,Online,40 Minutes,https://gloriumtech.com/,https://gloriumtech.com/taylor-ryan-startup-pitch-hacks-fix-your-pitch-deck-and-get-pre-seed-investment/,-,-,"Houston, USA","1201 Fannin St, Suite 262, Houston, TX 77002, USA",Software development services,Software development,"Custom software, product engineering, consulting, startups, healthcare IT","Pitch narrative, deck structure, traction proof, investor targeting, close pre-seed faster","Pitch deck teardown, storytelling, traction metrics, investor research, outreach, Q&A",Pre-seed fundraising,Start-ups and Entrepreneurship,Founders,"Fundraising, pitch deck, investor outreach, startups, pre-seed"
Ecommerce Conference,6-Apr-22,Conference,Ecommerce Conversion Rate Optimization,BOUSSIAS,https://www.e-commerceconference.gr/,Ecommerce Conference,Keynote,Online,40 Minutes,https://www.boussias.com/,https://www.e-commerceconference.gr/,-,-,"Athens, Greece","Fragkokklisias 51, 151 25 Marousi, Athens, Greece",Media and events,Media and events,"Conferences, publishing, marketing events, Greece, B2B media","CRO playbook, UX wins, funnel diagnostics, testing roadmap, growth tactics for ecommerce","Funnel analysis, heatmaps, A/B testing, landing pages, UX fixes, analytics, persuasion",Ecommerce CRO,Digital Marketing Sales,Ecommerce,"CRO, ecommerce, UX, growth experiments, conversion optimization"
Digital Marketing Con Europe 2022,31-Mar-22,Conference,The Next Level of Outbound Digital Marketing,DATA MINER,https://digitalmarketingcon.eu/,Digital Marketing Con Europe,Keynote,Online,1 Hour,https://dataminer.lt/,https://digitalmarketingcon.eu/,-,-,"Vilnius, Lithuania","Verkių g. 31B-2, LT-09108 Vilnius, Lithuania",Conferences and training,Conference organizer,"Conference organizer, Europe, IT and marketing events, training, community","Scraping and enrichment, intent signals, hyper-personalization, scalable outbound systems","Data scraping, enrichment, segmentation, personalization, outbound sequences, deliverability, tooling",Data-driven outbound,AI and Automation,B2B outbound,"Outbound, scraping, automation, personalization, big data"
Content Marketing Seminar - Startup WiseGuys,31-Mar-22,Workshop,Content Marketing for Early-Stage Startups and Growth Hacks,Startup Wise Guys,https://startupwiseguys.com/,Startup Wise Guys Accelerator,Workshop,Online,2 Hours,https://startupwiseguys.com/,https://startupwiseguys.com/,-,-,"Tallinn, Estonia","A. Lauteri tn 3, 10114 Tallinn, Estonia",Startup acceleration,Startup accelerator,"Accelerator, mentoring, early-stage, Europe, founders","Content strategy, distribution loops, SEO basics, growth hacks that drive early traction","Content pillars, SEO, distribution, repurposing, lead magnets, analytics, experimentation",Content growth,Digital Marketing Sales,Startups,"Content marketing, growth, SEO, startups, playbooks"
Founders Summit 2022,29-Mar-22,Workshop,Pitching Investors and Getting Your First Round of Funding,Innovation Centre Denmark,https://innovationcentre.dk/,Innovation Centre Denmark,Workshop,In-Person,1.5 Hours,https://innovationcentre.dk/,https://siliconvalley.um.dk/,-,-,"Copenhagen, Denmark",-,Government innovation and trade,Government agency,"Denmark, innovation, startups, trade, Silicon Valley network","Fundraising readiness, pitch structure, investor targeting, storytelling, early traction signals","Fundraising, pitch deck, storytelling, investor pipeline, traction metrics, Q&A, networking",Investor pitching,Start-ups and Entrepreneurship,Startups,"Fundraising, pitching, investor relations, startups, Denmark"
GrowthHackers,24-Feb-22,Webinar,Competitor Analysis Using SEO,GrowthHackers,https://community.growthhackers.com/events/webinar-competitor-analysis-using-seo,GrowthHackers Webinar,Webinar,Online,1 Hour,https://growthhackers.com/,https://community.growthhackers.com/events/webinar-competitor-analysis-using-seo,https://youtu.be/xbT7tH9W3ys,-,"San Francisco, USA","388 Market St, San Francisco, CA 94111, USA",Marketing community and media,Community platform,"Growth marketing, community, events, playbooks, SaaS","Competitive SEO research, keyword gaps, backlink profiling, turning insights into quick wins","Keyword research, gap analysis, content mapping, backlink audits, prioritization, tools",Competitive SEO,Digital Marketing Sales,SEO marketers,"SEO, competitor analysis, keyword research, growth, content strategy"
Antler Founders and Advisors Meet and Greet,24-Feb-22,Workshop,Advisors: Founders Meet and Greet,Antler,https://www.antler.co/location/denmark,Antler Denmark Residency,Workshop,In-Person,2.5 Hours,https://www.antler.co/,https://www.antler.co/,-,-,"Copenhagen, Denmark",-,Venture capital and startup accelerator,Venture capital firm,"VC, founder residency, early-stage, Nordics, investing","Advisor strategy, early-stage priorities, mentorship leverage, key steps for fundable startups","Advisor selection, mentor outreach, validation, pitch readiness, networking, execution plan",Startup advising,Start-ups and Entrepreneurship,Founders,"Antler, startups, advisors, fundraising, acceleration"
UI / UX Conference 2022,10-Feb-22,Conference,Growth-Hacking Meets UX,Geekle,https://geekle.us/,UI/UX Conference,Keynote,Online,45 Minutes,https://geekle.us/,https://geekle.us/,https://youtu.be/ixaAU9GzdCM?t=21442,-,"Wilmington, USA","910 Foulk Road, Suite 201, Wilmington, DE 19803, USA",Conferences and events,Conference organizer,"UX, product design, online summits, tech community, speakers","CRO mindset for product teams, UX friction audits, experiment design, measurable lifts","User research, UX audits, CRO, A/B tests, onboarding, funnels, analytics",Growth and UX,Product,UX designers,"UX, CRO, product growth, experiments, analytics"
Startup Wise Guys Cohort Training Part 2,27-Jan-22,Workshop,1-on-1 Workshops for Early-Stage Startups,Startup Wise Guys,https://startupwiseguys.com/,Startup Wise Guys Cohort Training,Workshop,In-Person,4 Hours,https://startupwiseguys.com/,https://startupwiseguys.com/,-,-,"Tallinn, Estonia","A. Lauteri tn 3, 10114 Tallinn, Estonia",Startup acceleration,Startup accelerator,"Accelerator, coaching, seed focus, Europe, founders","Rapid diagnostics, channel prioritization, messaging cleanup, actionable growth plan per startup","1-on-1 coaching, growth audits, ICP, positioning, funnels, channel tests, KPIs",Growth coaching,Start-ups and Entrepreneurship,Founders,"Accelerator, growth workshop, playbooks, traction, startups"
Startup Wise Guys Cohort Training Part 1,26-Jan-22,Workshop,"Omni-Channel Marketing for Ecommerce, SaaS, and More",Startup Wise Guys,https://startupwiseguys.com/,Startup Wise Guys Cohort Training,Workshop,In-Person,2 Hours,https://startupwiseguys.com/,https://startupwiseguys.com/,-,-,"Tallinn, Estonia","A. Lauteri tn 3, 10114 Tallinn, Estonia",Startup acceleration,Startup accelerator,"Accelerator, mentoring, early-stage, Europe, founders","Channel mix strategy, measurement basics, quick wins for ecommerce and SaaS acquisition","Channel selection, messaging, funnels, lifecycle, paid vs organic, attribution basics",Omni-channel growth,Digital Marketing Sales,Startup marketers,"Omnichannel, acquisition, ecommerce, SaaS, growth"
Wisdom Wednesday,19-Jan-22,Webinar,Quick Wins in Product-Led Growth and Innovation,Kallidus,https://www.kallidus.com/,Wisdom Wednesday,Workshop,Online,2 Hours,https://www.kallidus.com/,https://www.kallidus.com/,-,-,"Altrincham, United Kingdom","3rd Floor, 1 Ashley Road, Altrincham, Cheshire WA14 2DT, United Kingdom",HR and learning software,SaaS,"LMS, L&D, HR tech, talent management, learning experience","PLG quick wins, experiment loops, cross-team alignment, scaling innovation from zero","PLG metrics, onboarding, activation, retention, experimentation, org change, tooling",Product-led growth,Corporate Innovation,SaaS teams,"PLG, innovation, experimentation, SaaS, growth"
Antler Denmark and Sweden Workshop,18-Jan-22,Workshop,Growth Hacks for Every Part of Your Marketing Funnel,Antler,https://www.antler.co/location/denmark,Antler Denmark Residency,Workshop,In-Person,1.5 Hours,https://www.antler.co/,https://www.antler.co/,-,-,"Copenhagen, Denmark",-,Venture capital and startup accelerator,Venture capital firm,"VC, founder residency, early-stage, Nordics, investing","Funnel diagnostics, fast experiments, messaging tweaks, scalable acquisition plays for founders","Acquisition, activation, retention, referral loops, conversion, analytics, experimentation",Growth funnel hacks,Start-ups and Entrepreneurship,Founders,"Funnel, growth hacking, startups, experiments, Antler"
2021,,,,,,,,,,,,,,,,,,,,,,,,
Growth Meets UX,15-Dec-21,Accelerator Program,Early stage startup growth-hacks in user experience,Antler,https://www.antler.co/residency/uk,Antler UK Residency,Keynote,In-Person,1 Hour,https://www.antler.co/,-,-,-,"London, United Kingdom","Techspace Aldgate East, 32-38 Leman Street, London E1 8EW, United Kingdom",Venture Capital,Venture Capital,"pre-seed investor, accelerator, founder community, startup studio, UK","UX-driven growth, onboarding psychology, conversion patterns, rapid experimentation","user journeys, onboarding, conversion rate optimization, experimentation, retention loops",Growth meets UX,Digital Marketing Sales,Startups,"growth hacking, UX, onboarding, conversion, experimentation"
AMA with NEAR + Marketing DAOs,30-Nov-21,Webinar,"Marketing DAOs, crypto growth, Web3.0, and the future of blockchain projects",NEAR Foundation,https://generationcrypto.org/,Generation Crypto,"Co-Host, Panel",Online,1 Hour,https://near.foundation/,https://generationcrypto.org/,https://youtu.be/SkJ0YPtD2Ok,-,"Zug, Switzerland","Chamerstrasse 12 C, 6300 Zug, Switzerland",Blockchain,Foundation,"layer 1 ecosystem, grants, developer platform, community, research","DAO-led growth, contributor coordination, incentives, governance, scaling Web3 marketing","DAOs, token incentives, community ops, governance, contributor models",Marketing DAOs,Blockchain Crypto and Web3,Web3 marketing,"DAOs, community growth, NEAR, token incentives, governance"
Mobile Growth Association,18-Nov-21,Meetup,Getting more high-intent conversions and reducing churn via growth-hacking,Mobile Growth Association,https://mobilegrowthassociation.com/,ProductLed Growth Hacking,Keynote,Online,45 Minutes,https://www.mobilegrowthassociation.com/,-,https://youtu.be/wIteaq9y-PE,-,"Reno, United States","316 California Ave #424, Reno, NV 89509, United States",Mobile Marketing,Professional Association,"mobile growth, retention, community, events, apps","Conversion lift and churn reduction, high-intent acquisition, retention experiments","funnel optimization, retention, churn analysis, lifecycle messaging, experimentation",Conversion and retention,Digital Marketing Sales,Mobile apps,"mobile growth, retention, churn, CRO, experimentation"
Generation Crypto 2021,10-Nov-21,Conference,Pre Launch Checklist for your crypto project,NEAR Foundation,https://generationcrypto.org/,Generation Crypto,Keynote,Online,1 Hour,https://near.foundation/,https://generationcrypto.org/,https://youtu.be/i9CPDjcAy-c,-,"Zug, Switzerland","Chamerstrasse 12 C, 6300 Zug, Switzerland",Blockchain,Foundation,"layer 1 ecosystem, grants, developer platform, community, research","Pre-launch GTM, community, token narrative, security basics, launch sequencing","token narrative, community building, launch checklist, partnerships, momentum loops",Token launch prep,Blockchain Crypto and Web3,Crypto startups,"token launch, community, GTM, checklist, Web3"
Datto GameChanger,28-Oct-21,Workshop,Running a sales team with growth-hacking at its core,Datto,https://www.datto.com/,Datto GameChanger Series,"Keynote, Workshop",In-Person,2 Hours,https://www.datto.com/,-,https://youtu.be/YlHuMAKohm0,-,"Stockholm, Sweden",-,IT Management and Cybersecurity,SaaS,"MSP, backup, RMM, cybersecurity, IT management","Sales process, outbound systems, experimentation cadence, metrics-driven coaching","sales playbooks, KPIs, outbound, enablement, experimentation",Sales growth systems,Digital Marketing Sales,B2B sales,"sales ops, growth hacking, outbound, KPIs, B2B"
Similarweb TechTalk Webinar,26-Oct-21,Webinar,"Reveal, Analyze & Dominate, a masterclass on competitive analysis",Similarweb,https://similarweb.com/,TechTalk Webinars,"Keynote, Webinar",Online,1 Hour,https://www.similarweb.com/,https://on.emarketer.com/Webinar-20211026-Similarweb-TechTalk_Busemailpage.html,https://youtu.be/LN9fnC373zo,-,"Givatayim, Israel",-,Digital Intelligence and Web Analytics,SaaS,"competitive intelligence, web analytics, marketing insights, data platform, B2B SaaS","Competitive intelligence, benchmarking, market sizing, keyword strategy, winning playbook","traffic analysis, competitor benchmarking, SEO insights, market research, dashboards",Competitive analysis,Digital Marketing Sales,Growth marketers,"competitive intelligence, analytics, SEO, strategy, market research"
Datto GameChanger,26-Oct-21,Workshop,LinkedIn optimization and growth tactics for B2B,Datto,https://www.datto.com/,Datto GameChanger Series,"Keynote, Workshop",In-Person,1.5 Hours,https://www.datto.com/,-,-,-,"Stockholm, Sweden",-,IT Management and Cybersecurity,SaaS,"MSP, backup, RMM, cybersecurity, IT management","Positioning, targeting, outreach workflows, reply-rate optimization","LinkedIn profile, ICP targeting, outreach sequences, personalization, measurement",B2B LinkedIn growth,Digital Marketing Sales,B2B sales,"LinkedIn, social selling, outbound, B2B, messaging"
